ID,NAME,RATING,PRICE,PHONE,TRANSACTIONS,REVIEW_COUNT
C6GOh4ebry81vuG_765VvA,Paris Baguette,4.0,$$,+15165950404,"['pickup', 'delivery']",81
I6optu9x0JAf8oT5lqJ8qw,The Blue Dog Cookhouse & Bar,4.0,$$,+12124590700,"['delivery', 'pickup']",1533
bJUDGmgdiicJHTmPtblFRg,Holy Schnitzel,3.5,$$,+17187614659,"['pickup', 'delivery']",93
kGnJoYkzL-6aMrvwgYQXAg,Fan Shun,3.5,$,+17188977438,['delivery'],38
jNPYmziqQjIMP-1pOgSZdw,Kape't Torta,4.5,$,+17188990240,"['delivery', 'pickup']",83
tSTJubZr6VEPwzfKW8dzaA,Benson Eating Station,2.5,$$,+17182668988,"['delivery', 'pickup']",92
0cQcKV7eCOhw7OnflOzr9w,Zhongzhong Noodles - Roosevelt Island,4.5,$$,+16468700005,['pickup'],90
YqXl2aa7XCaP3VgXkU9x-g,The KOVA,4.5,$$,+16465775500,"['delivery', 'pickup']",182
NEdlYLKcnFX5KcpHce8ldA,Poke Zone,4.0,$$,+17183980088,"['delivery', 'pickup']",34
DUGAWtm82qxK_Z8C_CdrHg,Yoz Shanghai,4.0,$,+17183218525,[],19
2-z6dRAkKupCyz1LF251pQ,Jintana Thai Farmhouse,4.0,$$,+17187881922,"['pickup', 'delivery']",208
A_zf74wlET0q1G2k3HN2vg,Bon Appetite Bakery,2.5,$,+17186339888,['delivery'],7
A7cYGgpIJ7CW2n0dWN2vRw,Emack & Bolio's Fort Greene,4.0,$$,+13479873944,"['pickup', 'delivery']",44
N4KANHCIuDe4-FrRyEch7A,Hainan,4.0,$$,+19175637223,"['pickup', 'delivery']",50
HDniG0HHT4d3ErVWTGLxZQ,Bread N Wine,4.5,$$,+16468610070,"['delivery', 'pickup']",73
QR7eMOsOXxGg26xx4wQUOw,BarDough,4.5,$$,+19172620543,"['delivery', 'pickup']",271
NzFEzBtaPuB_u28Qs7GxHQ,Elsa La Reina Del Chicharron,4.0,$,+12123041070,['delivery'],115
srqlsWg0od6soGI2Zf8mXA,Edie Jo's,3.5,$$,+19142293300,"['pickup', 'delivery']",110
c3yoz4TV_JHF6Gq1j64_uw,Popeyes Louisiana Kitchen,3.0,$,+12122199191,"['delivery', 'pickup']",53
NwrqmFGO-utVOG-eeDDuXg,Penelope,3.5,$$,+12124813800,"['delivery', 'pickup']",2361
II7C8s_nkPXfttDq_vHmGA,Gyu-Kaku Japanese BBQ,3.5,$$$,+16468502989,"['pickup', 'delivery']",80
yIRmIpqAwL5xx0hspTAQPw,Glatt Kosher Family,3.0,$$,+17189728085,"['pickup', 'delivery']",28
iF1wegmIk8lXAumtpWKVWA,Domino's Pizza,1.5,$,+17185310210,[],52
rPn5yqukQhBx6UckkemyAA,Domino's Pizza,1.0,$,+17183854545,[],96
SSDOkx5enfRH3nsniS_2jA,5ive Spice,4.5,$$,+17188573483,"['delivery', 'pickup']",988
