ID,NAME,RATING,PRICE,PHONE,TRANSACTIONS,REVIEW_COUNT
LG9gS6YnT5NwootBWp7gPA,Morris Park Bake Shop,4.0,$$,+17188924968,['pickup'],66
AMxMPBkWi20dn_1BRalahA,Wendy's,1.5,$,+17182875005,['delivery'],61
oo77ZO5cj9M2NRdTqEgHvQ,D.J. Reynolds,3.5,$$,+12122452912,['delivery'],129
Pe6MsH2DW0CXjvUtxUpI4A,Wilkens Fine Foods,3.5,$$,+17184443838,"['pickup', 'delivery']",64
Q18r5FKi2qkQhtKZqWR8ww,Taste the Tropics USA,4.5,$,+17188560821,"['delivery', 'pickup']",59
t2eaCKKC0_d3z6A9g4SAEw,Sal's Deli,5.0,$,+17186619498,[],12
S8i04Lq3yTkvusJlgiAhEw,Steve Chu's Deli & Grocery,4.5,$,+17187268888,['pickup'],6
CowisEVeVb4H3go-zKBZVg,Angelika Film Center & Café - New York,3.5,$$,+12129952570,['delivery'],499
vrccemlXVyVTlV6Zz_SKxw,Ho Mei,4.0,$,+17187796903,['delivery'],9
CKZAuCQePLv6OjDyrmqy-A,Bagels N’ Buns,4.0,$,+17187611900,"['pickup', 'delivery']",69
KJubjg0t1ipFQ6ZQMsjVig,Carvel,2.5,$$,+17188167807,"['delivery', 'pickup']",24
WtZCvuvO40ExJdpOGeLgqA,Kosher Bagel Hole,4.0,$,+17182584150,"['pickup', 'delivery']",69
lQ0OUc0QeC4JdnC7SYKvBA,Happy Garden,4.5,$,+17182955588,"['pickup', 'delivery']",4
TT517g4saZlXO_SEJzfmvw,Philadelphia Grille,4.5,$$,+17182380747,['delivery'],91
4yPqqJDJOQX69gC66YUDkA,Peter Luger,4.0,$$$$,+17183877400,[],6922
iQo5aJwTL_ZrXCdPFKq-RA,Isle of Capri,4.0,$$$,+12127581902,['delivery'],298
Q02uPdw8j8yDIVSPyJATjA,Old Town Bar & Restaurant,3.5,$$,+12125296732,[],423
RQi2YmAkk8g9WdNStAhfbQ,Sevilla Restaurant & Bar,3.5,$$,+12129293189,"['delivery', 'pickup']",545
XA7phnS0fBfLR8xdsngiUQ,Gottscheer Hall,4.5,$,+17183663030,['delivery'],59
J4Aji-XOfYXzqH9IV4NQqQ,7B Horseshoe Bar aka Vazacs,3.5,$,+12126776742,[],211
ZPo-xIreq2EcdrbJXZVS-w,Donohue's Steak House,3.5,$$,+12127440938,['delivery'],120
dqXZa8fcvHsFvtZVtwRNkA,Old Homestead Steak House,3.5,$$$$,+12122429040,"['pickup', 'delivery']",1239
70c-BeXWi6mO9IN3_vnpdg,New Park Pizza,4.0,$,+17186413082,['delivery'],1068
8XLhXJcJ2XbQ8dTBY9YyQg,Corner Bistro,3.5,$$,+12122429502,"['delivery', 'pickup']",1657
IIvXlBTC9-Yy3k7H4t88IQ,Dorrian's Red Hand,3.0,$$,+12127726660,"['pickup', 'delivery']",234
KIIYvTOc0Uv90aUHEGvoSg,La Grenouille,4.0,$$$$,+12127521495,['delivery'],498
BgGz5IdV53bGb4o7opR5zg,Arturo's,4.0,$$,+12126773820,"['restaurant_reservation', 'pickup', 'delivery']",809
0PNqgljlrf1J3gCPY5NP8A,Yankee Tavern,4.0,$$,+17182926130,['pickup'],122
Vd7BOoV2q7qBCNzfGSRf_w,Reben Luncheonette Morir Sonand,4.5,$,+17183887696,"['delivery', 'pickup']",50
LbGAKVX3cwZj4fUC2XOLxg,Jahns Since 1897,3.5,$$,+17186510700,"['pickup', 'delivery']",186
P90fQ5WHs381XvgEibs9OQ,J & V Pizzeria,4.0,$,+17182322700,['delivery'],279
lUQR6cZlHHKXOksH5xOTqA,Joe Allen,4.0,$$,+12125816464,['delivery'],466
VXyk19eG4B2I6noumvfHCw,Gargiulo's,3.5,$$,+17182664891,['delivery'],305
goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,4.0,$$$,+12122473491,['delivery'],1166
vbGqzhH_exG5HOG1I23kvg,Park Side Restaurant,4.0,$$$,+17182719871,['delivery'],973
MLFKsPTgN2EHEyD4cPZznQ,Neary's,4.0,$$,+12127511434,['delivery'],100
-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,4.5,$,+12125948939,"['pickup', 'delivery']",2582
GfLL6-n6UNZ07SEHfjeIgA,Mee Sum Cafe,4.0,$,+12123495260,['pickup'],68
is9vr6YX4NPP5cCp-K92Qw,Nancy's Restaurant,4.5,$$,+17183434616,['delivery'],123
EFihj7vsRRXiF5la-UURyw,Hop Kee,4.0,$$,+12129648365,['delivery'],921
HQSifWLNBh_LgMqronwAYA,Nancy Whiskey Pub,4.0,$,+12122269943,['delivery'],249
Gh7XAH2xT3lnpOERhzSNxA,Margherita Pizza,4.5,$,+17186575780,['delivery'],373
lwofc642jUDe0PSJ_Z_VWg,Healy's Bar & Grill,4.5,$,+17184749600,[],14
GXq2Qsm--A7QQt9rTXldig,Denino's Pizzeria & Tavern,4.0,$$,+17184429401,"['delivery', 'pickup']",964
uYHN9Vw3V1ajDGRnNDtbYw,Michael's of Brooklyn,4.5,$$$,+17189987851,"['pickup', 'delivery']",421
vXYFa2qzppkGiOiVPrLwDQ,Don Peppe,4.0,$$$,+17188457587,['delivery'],704
Ly-0vKFgGSn9PsHsPEk5gw,Tio Pepe,3.5,$$,+12122429338,"['delivery', 'pickup']",520
HqVdTKCpOZWrCvUF9rG2sA,Brennan & Carr,4.0,$$,+17187691254,['delivery'],806
sGwQYKPaMJ-tD2E4fQ0EJQ,Jardin De China,4.0,$$,+17184763755,['delivery'],271
3RPg3_xKcSqydWxqfNHFDA,Shimon's Kosher Pizza,3.5,$,+17187931491,"['delivery', 'pickup']",27
cS2dquz8jSagXqeVKBwSsg,Fascati Pizza,3.5,$,+17182371278,['delivery'],269
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,3.0,$$$,+12123718844,"['pickup', 'delivery']",342
_BsM67A1_JqAmgXA3SznKg,La Fusta Restaurant,4.0,$$,+17184298222,"['delivery', 'pickup']",311
lpFZWQWc7x_jv9cxh5yeBA,Lulu's Luncheonette,4.0,$$,+17188223568,"['pickup', 'delivery']",11
bUqqO8yh3KMFJoIWNMLx9w,Mitchell's Soul Food,3.5,$,+17187893212,['delivery'],191
2IgRhPCG78LaJ4rptrjhcw,DaVinci Pizzeria,4.0,$,+17182325855,"['delivery', 'pickup']",164
ZIfh0Vv86ktGZDdM3YME-w,Mexico Lindo Restaurant,3.5,$$,+12126793665,['delivery'],276
j7H5nYjKDb1GQ4zKJRuTlw,Twins Irish Pub,3.5,$$,+12126431688,['delivery'],111
t9m2CumYaktkVO1hs_I4Jw,Kenn’s Broome Street Bar,3.5,$$,+12129252086,"['pickup', 'delivery']",307
77EedCTJY1biWIYSzAulCQ,J.G. Melon,3.5,$$,+12127440585,['delivery'],1575
2BrScW5a4HBDe85STpdYsQ,The Flame Diner,3.5,$$,+12127657962,"['pickup', 'delivery']",391
hPcNSnzW_oJMAoa7fIWKQw,Jackson Hole Burgers,3.5,$$,+12123717187,"['pickup', 'delivery']",455
