ID,NAME,RATING,PRICE,PHONE,TRANSACTIONS,REVIEW_COUNT
0zxGc7hit7mFSk2o1PvIdQ,Umberto's Clam House,3.0,$$$,+12124317545,"['delivery', 'restaurant_reservation']",549
GkxvCwfCFaFY4UDvAkZ8dQ,Dallas BBQ,3.0,$$,+17185929000,"['delivery', 'pickup']",626
pfmAcS-g6SiNG0KlLvrqnA,Beauty & Essex,4.0,$$$,+12126140146,"['delivery', 'pickup']",3896
nsAU6F2vmdnphmfIa_RuWg,Mable's Smokehouse & Banquet Hall,4.0,$$,+17182186655,"['delivery', 'pickup']",1025
1fVp9c5Vw04ig171a_juRw,U Like,4.0,$,+17182439096,"['pickup', 'delivery']",53
6kJxh1RCQykTHxWor538dA,Panda Delight,2.5,$$,+17184887540,"['delivery', 'pickup']",46
eQdjZQaLnjItmn9suEEeIA,Patricia's of Morris Park,4.0,$$$,+17184099069,"['delivery', 'pickup']",647
OeIZ028BfyQBiGGEokOiSg,Addeo's Riverdale Pizzeria,3.5,$,+17185494750,"['pickup', 'delivery']",114
XuberRcn8B3DhPXTLzab8Q,MOMO Hibachi Steak House & Bar,4.0,$$,+17187698010,"['pickup', 'delivery']",266
r9v4l-6izBRmDfHSOr1u8w,Sol de Quito Restaurant II,2.5,$$,+17188530400,"['pickup', 'delivery']",16
26E3j9l0XW_onVIUP-ThCw,Heidi's House By The Side Of The Road,4.5,$$,+12122490069,['delivery'],667
LHxZgTddXIp_S1sL3nNG9w,Park Avenue Tavern,4.0,$$,+12128674484,"['delivery', 'pickup']",994
uxLzUC9QxbxyCCau32cf0A,Joe's Pizza,4.0,$,+17189313145,"['pickup', 'delivery']",47
LzyDj8z2CA03Jrs34L9Pgw,Spice,3.0,$$,+12123625861,"['delivery', 'pickup']",340
FeSynfcDT4qB2kDixHUQCA,Danji,4.0,$$,+12125862880,['delivery'],1090
pCATo1CMq7MGQFx5pddDxg,Mi Sabor Cafe,2.5,$$,+17186026160,"['delivery', 'pickup']",16
5kHNyJABl521cgtAzj9_dw,Goodfella's,2.5,$$,+17188158500,"['delivery', 'pickup']",184
iHltNVtPVmnD4DvW_9mB5Q,Tak King,3.0,$,+17186223416,"['pickup', 'delivery']",10
z9uIMwJX9psbIh5Q1cbTzQ,KFC,3.0,$,+17182672222,"['pickup', 'delivery']",58
S7rZi6Bgs1nP0fQLdSNpSw,Mtskheta Cafe,4.0,$$,+17186761868,['delivery'],87
jjLcqGI11ThxAhcftEh1Aw,Fraunces Tavern,3.5,$$,+12129681776,"['pickup', 'delivery']",1149
84aAjU_gAIit6JqDkDyxlg,Planet Wings,2.0,$$,+17187209464,"['delivery', 'pickup']",40
Bx9ufqCtxxdl2l6pT3J45g,Petrossian Caviar NYC,4.0,$$,+12122452217,['delivery'],369
h7eetr6J6CK24s7Cgcn-ew,Oishii Sushi Japanese,3.5,$$,+17186260588,"['delivery', 'pickup']",117
14o8c4ACAlHJGR6vf_xiHw,YeDon,4.0,$$,+17182243080,['delivery'],103
KyOtOluTH8c8SICpf85thg,Mesa Azteca,4.0,$$,+13473782838,"['delivery', 'pickup']",306
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,4.0,$,+17187681188,"['delivery', 'pickup']",82
yEHZiUgIihoSg6quQHcgmA,Jin Jin Hong Kong Cafe,3.5,$,+17182326222,['delivery'],277
V7K_-h2EzCjoAWxsHiLXQg,La Comadre,4.5,$,+13475613946,"['delivery', 'pickup']",32
s7cttMX_icK-T9HbJPZ1HQ,Riverdale Bagels,3.5,$$$,+17186014502,[],41
YB3Zygy4g4ga6jDFqjfsAg,Sati's Roti Shop,4.5,$,+17186412861,[],14
cecWBm6P2T1dIXrTfJWKng,Jenny's Roti Shop,3.5,$,+13472818558,"['delivery', 'pickup']",57
qmKesyTmZJphVNRC-YXfDA,Il Sogno,3.0,$$$,+17183567800,"['pickup', 'delivery']",64
cGQZOrC0Dn_-E2a8CGhh0A,Chipotle Mexican Grill,2.5,$$,+16466266520,"['delivery', 'pickup']",151
8b0iC1j499IEmy8a4IVyog,Chipotle Mexican Grill,2.5,$,+16469982329,"['delivery', 'pickup']",83
bddBvaDBjlSNCncNJKbZrA,Luciano Pizza,4.5,$,+17188632850,"['delivery', 'pickup']",46
Ot7WdvPpnNFT2kpMdoIH9A,Terrace Inn,4.0,$$,+17183529819,[],9
d6r6Bx-FgNuPrY6-EpeoVQ,Sunrise Mart,4.0,$$,+16463809280,"['delivery', 'pickup']",448
8YEW9Skc7m_Fl-7crFzPyQ,Premium Sweets & Restaurant,2.5,$,+17186725000,"['pickup', 'delivery']",68
gpt2U4ecZSCLmgVQPtkzbA,Cha Pa's Noodles And Grill,3.5,$$,+12129569300,"['delivery', 'pickup']",744
SCmInGHIWS-OCr-Kq4e0wQ,La Baguette Shop,4.0,$,+17182824221,['delivery'],39
STBRkchZYbZh60cRLOWCfA,McDonald's,1.5,$,+17183202749,['delivery'],37
Zk3d5782ZLu8eGllhbeS3Q,Barnes & Noble,4.0,$$,+12122530810,[],527
tmNlOPsJHtvtxFWMjfYY9A,Applebee's Grill + Bar,2.5,$$,+17189437404,"['delivery', 'pickup']",250
2amZhiDhm8Gs-85uRL84cA,Melting Pot Cuisine,3.5,$$,+17186062670,"['delivery', 'pickup']",149
dsxgbkIKyu7x7JgpAKeZPA,Tarallucci e Vino - Upper West Side,3.5,$$,+12123625454,"['pickup', 'delivery']",171
fJhzNx7t2QybrYudxULGoA,Maria's Mediterranean,4.0,$$,+17182791606,"['pickup', 'delivery']",485
817saXavwAXyUs8EP9i8CQ,El Sol De Quito,2.0,$$,+17184174174,"['delivery', 'pickup']",10
jhFqstTMRBAdBHgoQ1nSTA,Brooks 1890 Restaurant,3.0,$$,+17189371890,"['delivery', 'pickup']",103
C0nauSM5ktvZZFtz51WkDA,Popeyes Louisiana Kitchen,2.0,$,+17184643636,"['pickup', 'delivery']",19
Xrz4pfFCo-cFzcTqUPPkaw,Coyote Bohemio,3.5,$,+17183868616,"['pickup', 'delivery']",20
syQqK_8IZeX3k5FshcDMMQ,Cholula Deli Grocery,3.5,$$,+17184974982,"['pickup', 'delivery']",20
JpUmsVDjA0zjygYcoskq2Q,Colombia In Park Slope,4.0,$$,+17183692020,"['pickup', 'delivery']",447
B-H5VrRI7ouol4Y_ldXT1A,Chinatown Restaurant,3.5,$$,+17188917762,"['pickup', 'delivery']",26
rAmof5MaQHV7yRz35u08Jg,Kingston Pizza,2.5,$,+17187737154,['delivery'],29
i-pIkOZDCv7UVwFyMO5QlQ,Li's Happy Family,2.5,$,+17183511999,"['delivery', 'pickup']",10
ZasGU3Njb5dcZilSDD_9_Q,Talk of the Town Tavern,4.5,$,+17189489442,[],20
BbMUXd69i0tlWS2aoppwaQ,El Camion,4.0,$$,+12125335436,"['delivery', 'pickup']",773
PiOv4vMRLaJJoqt_Eyebvw,Udom Thai,3.0,$$,+17186228424,"['delivery', 'pickup']",388
XfmtH4SkuSQQwiRTE78sTA,Empire Kitchen,3.5,$,+17183522228,"['pickup', 'delivery']",31
WRPrwGH50FBm7yiuYKiLjw,"Mosaic Craft Cocktail, Beer & Wine Bar",4.5,$$,+17187280708,[],330
IcBBmuFa7VGgu3g_VEUBdA,Panda House,2.5,$,+17187763838,[],12
IkalAe3sUTlzV66KbIdluQ,Fuji Hana Restaurant,3.0,$$,+17183363888,"['delivery', 'pickup']",33
74FFOreAgPphSwSZlfZzgw,Jones Wood Foundry,4.0,$$,+12122492700,"['delivery', 'pickup']",812
7HJrtpB0mo8tndvxOkN31w,Kitaro,3.0,$$,+12127879008,"['delivery', 'pickup']",157
whSUmhJmaSUCoUPtCu8bNw,Dunkin',3.0,$,+17183513653,['delivery'],6
833d7cqETGXFBem-ndDavg,Pret A Manger,3.5,$,+12122923913,"['delivery', 'pickup']",40
Ro-EW-LYUOXlnkb9wUmX8A,Banter,4.5,$$,+17185995200,['delivery'],102
J0cXVSZ9QhPZnXxfHYut7w,Woodside Pizzeria,3.5,$$,+17185338888,"['delivery', 'pickup']",106
LAo4PdkUMwRF88x5TnG3wA,Subway,2.0,$,+12124067582,"['delivery', 'pickup']",13
DlCejV1AYAPnVQTkfyMRFQ,Dunkin',3.0,$,+17184182393,['delivery'],18
VYCVwP4mfIqBYmIuXuXB3A,No 1 Chinese Restaurant,3.0,$,+17187203838,"['delivery', 'pickup']",14
EjIXvG0letWrQ8uRm0BmNw,New Grassy Point Hotel,4.0,$$,+17184741688,[],8
TCPZLIG8mkX0iOD4K3_wAw,Basilio Inn,4.5,$$,+17187206835,['delivery'],137
4AGPKsdpj5oKJeA9ENiHDQ,John's Pizzeria & Restaurant,4.0,$,+17185231381,"['pickup', 'delivery']",191
zLsXFdPpwYtLVGGcz_r31w,Jimbos Hamburgers,3.5,$,+13475901288,"['delivery', 'pickup']",32
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,4.0,$$,+12128738500,"['pickup', 'delivery']",1085
86d1dsvm9dyARtaAQmjfUg,Rudy's Bakery and Cafe,4.5,$,+17188215890,"['delivery', 'pickup']",274
wdoJeIFOSO9c5L5aINiT3Q,Subway,2.5,$,+17182712001,"['pickup', 'delivery']",12
n_KosOPSHS81Yq0D6X3peQ,Falafel On Broadway,4.0,$,+12122222300,"['delivery', 'pickup']",247
zIOtfTF0TVsmQS8XBOtsfg,Ciao Vineria con Cucina,3.0,$$,+16465590640,"['delivery', 'pickup']",165
pPdGUL90xZ7YIUvTLYcmIw,The Comfort Diner,3.5,$$,+12128674555,"['delivery', 'pickup']",667
Hnt7f9S2aIxasPMJH5WKqw,Kathy'S Ice Cream,4.0,$,+13472683435,[],15
FnN9Px3hA-60wUVVWzqasA,Dunkin',2.5,$,+17185263376,['delivery'],18
RAskuIaBIqagBYUwRid36w,Apicius,3.5,$,+17182047722,"['pickup', 'delivery']",52
DI_FoHY84hfzTWwlzF76aw,Benito One,4.0,$$,+12122269171,"['pickup', 'delivery']",834
vI8CWtdY9I0x_jKyOn272Q,Scaglione Bros Bakery & Deli,4.5,$,+17188921736,"['delivery', 'pickup']",26
LlT5XLc88hFDcWiCKskasg,Pizzeria Giove,4.5,$$,+13472860635,['delivery'],395
er5IdZdfNkYsSigugyYvsw,Wing Wah Restaurant,3.0,$,+12124278068,"['pickup', 'delivery']",18
J9xVQScnr0lYWl61_mLXMA,Lido,4.0,$$,+16464908575,['delivery'],1217
mZE91iNgAJhm7r1eWGqaEQ,Bareburger - Murray Hill,3.5,$$,+12126792273,"['delivery', 'pickup']",829
cdtFgCmrp6Qwvz6pfBtLDQ,Culpepper's,3.5,$,+17189404122,"['delivery', 'pickup']",73
1ilew7Q1z0th5kwkynJNdQ,Melas Cafe,4.0,$,+17189012181,['delivery'],16
_jLJ21PfYCyhVHg2nz7X-g,Eve's Lounge,3.5,$$,+13474425959,['delivery'],246
fzBvSgiIosXI_LY2xEFpFA,Physical GraffiTea,4.0,$,+12124777334,['delivery'],178
dJmC6GmMgX3VLSdaLhcJdg,Tandoor Restaurant,3.5,$$,+17189976800,"['delivery', 'pickup']",233
WWp5GUGrYUWbV28IdTB5kA,Checkers,2.5,$,+17185857777,"['delivery', 'pickup']",10
dViHn1aI38BfX_izQTLN3g,Lutheran Halal Cafe,3.5,$,+17185678244,['delivery'],11
hQmH1FWXBWaIBD1tEV9_Hg,The Rum House,4.0,$$,+16464906924,[],664
YiPXonMjK3Q1bcK3BjvZ2g,Halyards,4.0,$$,+17185328787,['delivery'],111
-2aMphgYYnoxncuZ7xI3Gw,Bierhaus NYC,4.0,$$,+12128672337,"['pickup', 'delivery', 'restaurant_reservation']",1015
GwkyRCv3SmdkfDA_sdE6kg,Bar Centrale,3.5,$$$,+12125813130,['pickup'],175
